Population,Field_Year,Generation,Block,Transect,Sequence,Left_Or_Right,Donor,Recipient,Plant_ID,Total_Closed_Fruits,Total_Fruits,Tot_Seed_Num_ClosedFt,Mean_Ind_Seed_Mass_mg,Mean_Seeds_per_Fruit,Lifetime_Fecundity,Stem_Biomass,Corolla_Diameter,Corolla_Area,Leaf_Area_mm2,FFD,LFD,fl_duration
Blue Oak,2022,G1,2,5,167,NA,BO_143,BO_195,4,0,0,0,NA,0,0,NA,17.047,183.986,NA,4/8/22,5/20/22,42
Blue Oak,2022,G1,2,5,168,NA,BO_187,BO_031,6,0,1,0,NA,0,0,NA,21.913,218.301,NA,4/1/22,4/28/22,27
Blue Oak,2022,G1,2,5,169,NA,BO_088,BO_140,4,1,6,2,7.89,2,12,NA,26.446,421.534,NA,3/25/22,5/20/22,56
Blue Oak,2022,G1,2,5,170,NA,BO_013,BO_114,8,0,2,0,NA,0,0,36.2,NA,NA,NA,4/1/22,4/21/22,20
Blue Oak,2022,G1,2,5,172,NA,BO_073,BO_117,1,0,0,0,NA,0,0,NA,27.983,478.407,NA,3/25/22,4/21/22,27
Blue Oak,2022,G1,2,5,173,NA,BO_073,BO_186,6,0,0,0,NA,0,0,NA,25.477,371.007,NA,4/8/22,4/28/22,20
Blue Oak,2022,G1,2,5,174,NA,BO_074,BO_047,4,0,0,0,NA,0,0,NA,28.325,438.004,NA,4/1/22,4/28/22,27
Blue Oak,2022,G1,2,5,176,NA,BO_005,BO_122,7,0,0,0,NA,0,0,NA,23.44,314.685,NA,4/1/22,5/5/22,34
Blue Oak,2022,G1,2,6,177,NA,BO_029,BO_061,3,3,11,0,NA,0,0,64.38,27.605,419.624,24.397,3/25/22,5/25/22,61
Blue Oak,2022,G1,2,6,178,NA,BO_106,BO_131,5,5,32,4,5.055,0.8,25.6,182.99,27.917,438.277,123.788,3/25/22,5/25/22,61
Blue Oak,2022,G1,2,6,179,NA,BO_188,BO_008,7,5,10,6,6.21,1.2,12,46.97,30.425,528.348,98.5,3/17/22,5/20/22,64
Blue Oak,2022,G1,2,6,180,NA,BO_185,BO_153,1,0,3,0,NA,0,0,13.89,23.653,351.38,35.199,3/25/22,4/1/22,7
Blue Oak,2022,G1,2,6,181,NA,BO_088,BO_050,4,0,0,0,NA,0,0,NA,NA,NA,24.271,4/8/22,4/8/22,0
Blue Oak,2022,G1,2,6,182,NA,BO_001,BO_025,7,4,6,0,NA,0,0,50.6,24.463,351.73,27.189,3/25/22,5/20/22,56
Blue Oak,2022,G1,2,6,183,NA,BO_177,BO_147,8,0,0,0,NA,0,0,16.01,NA,NA,49.489,4/1/22,5/25/22,54
Blue Oak,2022,G1,2,6,184,NA,BO_032,BO_132,6,0,3,0,NA,0,0,47.96,20.324,254.147,94.448,3/25/22,5/20/22,56
Blue Oak,2022,G1,2,6,185,NA,BO_151,BO_056,8,3,17,10,4.86,3.333333333,56.66666667,66.4,25.34,324.399,30.207,3/25/22,5/25/22,61
Blue Oak,2022,G1,2,6,186,NA,BO_038,BO_137,2,2,4,3,4.786666667,1.5,6,47.75,27.523,444.991,110.558,3/17/22,5/25/22,69
Blue Oak,2022,G1,2,6,187,NA,BO_188,BO_052,2,0,6,0,NA,0,0,31.09,23.449,321.885,75.22,3/25/22,4/8/22,14
Blue Oak,2022,G1,2,6,188,NA,BO_074,BO_118,1,0,2,0,NA,0,0,6.29,NA,NA,11.293,3/25/22,3/25/22,0
Blue Oak,2022,G1,2,6,189,NA,BO_177,BO_139,8,0,0,0,NA,0,0,21.12,18.316,177.226,25.169,3/25/22,5/25/22,61
Blue Oak,2022,G1,2,6,190,NA,BO_065,BO_078,4,1,1,1,4.48,1,1,5.33,19.507,198.908,39.695,3/25/22,4/1/22,7
Blue Oak,2022,G1,2,6,191,NA,BO_192,BO_127,2,0,4,0,NA,0,0,NA,31.998,570.21,34.674,3/25/22,5/25/22,61
Blue Oak,2022,G1,2,6,192,NA,BO_201,BO_130,2,0,0,0,NA,0,0,NA,NA,NA,42.803,3/25/22,4/1/22,7
Blue Oak,2022,G1,2,6,193,NA,BO_130,BO_120,7,0,1,0,NA,0,0,NA,16.146,154.946,17.625,3/17/22,5/25/22,69
Blue Oak,2022,G1,2,6,194,NA,BO_039,BO_200,8,2,2,6,1.403333333,3,6,NA,NA,NA,41.954,4/1/22,4/1/22,0
Blue Oak,2022,G1,2,6,195,NA,BO_149,BO_032,4,1,1,0,NA,0,0,17.06,NA,NA,NA,4/28/22,4/28/22,0
Blue Oak,2022,G1,2,6,196,NA,BO_073,BO_070,5,2,9,5,3.13,2.5,22.5,NA,27.011,419.945,43.243,3/25/22,5/12/22,48
Blue Oak,2022,G1,2,6,197,NA,BO_032,BO_096,4,0,0,0,NA,0,0,NA,NA,NA,NA,3/25/22,5/25/22,61
Blue Oak,2022,G1,2,6,198,NA,BO_130,BO_161,1,1,4,0,NA,0,0,18.88,NA,NA,26.736,3/25/22,5/5/22,41
Blue Oak,2022,G1,2,6,199,NA,BO_153,BO_157,6,4,18,5,2.5175,1.25,22.5,59.17,20.086,268.221,NA,3/17/22,4/28/22,42
Blue Oak,2022,G1,2,6,200,NA,BO_029,BO_090,1,2,4,1,2.68,0.5,2,22,21.426,293.91,19.981,3/25/22,4/28/22,34
