Isotope_Sample_ID,Transect,Segment,Recipient,Plant_ID,Gen,Sequence,Donor,F_plant,Sow_Date,Plant_Date,FFD,days_sow2flower,days_plant2flower,LFD,fl_duration,FLR_P,skel_weight_mg,Closed_fruits_F,Open_fruits_F,ALL_filled_seeds,Total_fruits_F,Mean_Seeds_per_Fruit,Estimated_Fecundity,Mean_Seed_Mass_mg,Corolla_Diameter_mm,Photo_date,Leaf_area_mm2,Leaf_dry_weight_mg,Specific_leaf_area,d13,Total_C_µg,Sample_Weight_mg
BO_137-G1-002-21L-5,2,21L,BO_137,5,G1,61,BO_038,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-04-21,NA,1,2,2,3,2,6,7.105,25.508,2023-04-21,NA,NA,NA,-28.81,820.39,2.25
BO_137-G1-009-4L-5,9,4L,BO_137,5,G1,253,BO_038,TRUE,2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,12.909,0.88,14.669318181818182,NA,NA,NA
BO_137-G2-008-20R-2,8,20R,BO_137,2,G2,244,BO_038,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,NA,4.25,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-30.28,488.91,1.86
BO_139-G1-001-27R-4,1,27R,BO_139,4,G1,27,BO_177,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,NA,2,0,1,2,0.5,1,4.74,21.52,2023-05-05,15.721,0.95,16.54842105263158,-30.62,1040.09,3.2
BO_140-G1-001-39R-5,1,39R,BO_140,5,G1,39,BO_088,TRUE,2022-10-31,2022-11-03,2023-05-17,198,195,2023-05-17,0,NA,NA,1,0,5,1,5,5,3.208,NA,NA,NA,NA,NA,NA,NA,NA
BO_140-G1-006-23R-3,6,23R,BO_140,3,G1,190,BO_088,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-04-21,8.59,2,0,10,2,5,10,2.023,30.073,2023-04-21,38.059,2.84,13.40105633802817,-30.29,597.55,2.07
BO_140-G1-008-10L-1,8,10L,BO_140,1,G1,234,BO_088,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BO_142-G1-001-18R-3,1,18R,BO_142,3,G1,18,BO_189,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,NA,2,1,0,3,0,0,NA,26.275,2023-05-05,45.093,3.94,11.444923857868021,NA,NA,NA
BO_142-G1-0010-8L-1,10,8L,BO_142,1,G1,287,BO_189,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,NA,1,0,1,1,1,1,10.27,NA,NA,41.281,2.52,16.381349206349206,NA,NA,NA
BO_142-G2-0010-2R-5,10,2R,BO_142,5,G2,281,BO_189,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-17,12,2023-05-05,20.08,3,2,19,5,6.333333333,31.66666667,4.023684211,26.56,2023-05-05,31.081,1.6,19.425625,NA,NA,NA
BO_143-G1-002-11R-2,2,11R,BO_143,2,G1,51,BO_033,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-04-21,3.31,0,3,0,3,0,0,NA,26.725,2023-04-21,NA,NA,NA,-31.03,660.32,1.81
BO_143-G2-0010-10R-1,10,10R,BO_143,1,G2,289,BO_033,TRUE,2022-10-31,2022-11-03,2023-06-02,214,211,2023-06-02,0,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
BO_144-G1-001-28L-1,1,28L,BO_144,1,G1,28,BO_163,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,2023-05-05,NA,0,1,0,1,0,0,NA,25.945,2023-05-05,NA,NA,NA,NA,NA,NA
BO_144-G1-002-18R-4,2,18R,BO_144,4,G1,58,BO_163,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-06-15,41,2023-05-05,NA,5,0,16,5,3.2,16,3.95125,27.615,2023-05-05,NA,NA,NA,-29.16,1118.55,3.67
BO_144-G1-008-25R-5,8,25R,BO_144,5,G1,249,BO_163,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-17,26,2023-05-05,NA,4,1,13,5,3.25,16.25,3.922698413,26.241,2023-04-21,64.097,4.03,15.904962779156325,-28.77,1499.01,4.38
BO_145-G1-006-12L-2,6,12L,BO_145,2,G1,180,BO_069,TRUE,2022-10-31,2022-11-03,2023-06-01,213,210,2023-06-01,0,NA,16.26,0,1,0,1,0,0,NA,NA,NA,30.13,2.64,11.412878787878787,-29.3,993.01,3.42
BO_146-G1-0010-16L-5,10,16L,BO_146,5,G1,295,BO_022,TRUE,2022-10-31,2022-11-03,2023-05-05,186,183,2023-05-05,0,NA,36.53,3,1,6,4,2,8,5.785,NA,NA,67.679,3.98,17.004773869346735,NA,NA,NA
BO_146-G1-007-26R-5,7,26R,BO_146,5,G1,224,BO_022,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-04-21,15.82,6,0,15,6,2.5,15,3.128863636,NA,NA,NA,NA,NA,-29.49,774.57,2.47
BO_146-G2-005-34R-3,5,34R,BO_146,3,G2,158,BO_022,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-05-05,NA,3,0,7,3,2.333333333,7,2.657083333,23.969,2023-05-05,NA,NA,NA,NA,NA,NA
BO_146-G2-009-11L-1,9,11L,BO_146,1,G2,260,BO_022,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-04-21,8.22,2,1,2,3,1,3,7.04,29.139,2023-04-21,24.343,1.35,18.03185185185185,-28.95,1538.43,4.49
BO_149-G1-0010-7R-2,10,7R,BO_149,2,G1,286,BO_038,TRUE,2022-10-31,2022-11-03,NA,NA,NA,NA,NA,NA,4.32,1,3,0,4,0,0,NA,NA,NA,27.692,1.75,15.824,NA,NA,NA
BO_149-G1-008-17L-1,8,17L,BO_149,1,G1,241,BO_038,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-04-21,0,2023-04-21,12.72,4,0,6,4,1.5,6,3.821666667,28.289,2024-04-21,NA,NA,NA,-29.79,621.12,2.02
BO_149-G2-008-23L-5,8,23L,BO_149,5,G2,247,BO_038,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-04-21,38.94,3,0,2,3,0.666666667,2,3.11,24.386,2023-04-21,NA,NA,NA,-29.04,1416.8,4.17
BO_150-G1-007-12R-4,7,12R,BO_150,4,G1,210,BO_187,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-06-02,42,2023-05-17,49.39,7,2,17,9,2.428571429,21.85714286,3.900386844,25.468,2023-05-17,NA,NA,NA,-28.23,1364.8,3.97
BO_150-G2-009-18L-3,9,18L,BO_150,3,G2,267,BO_187,TRUE,2022-10-31,2022-11-03,2023-04-21,172,169,2023-05-05,14,2023-04-21,10.06,1,4,5,5,5,25,4.54,32.164,2023-04-21,17.827,1.08,16.506481481481483,-29.03,726.77,2.34
